NUM_YEARS_TO_RUN,DISABLE_PATHFINDING,TEST_NAME,IS_SEEDED,SEED,TURN_TIME,DAYS_PER_YEAR,ENABLE_PERSONALITY_TRANSMISSION,AGE_TURN_ADULT,MIN_DEATH_AGE,MAX_DEATH_AGE,MIN_OFFSPRING_AMOUNT,MAX_OFFSPRING_AMOUNT,MIN_FERTILITY_AGE,MAX_FERTILITY_AGE,MIN_FRIENDS,MAX_FRIENDS,PERSONALITY_LENGTH,PERSONALITY_THRESHOLD,MAX_NUMBER_OF_SOCIAL_MEETUPS_PER_WEEK,DAILY_CHANCE_OF_SOCIAL_MEETUP,TIME_AT_WORK_SCHOOL,TIME_AT_HOME,TIME_AT_SOCIAL,MIN_INITIAL_CHILDREN,MAX_INITIAL_CHILDREN,MIN_INITIAL_PARENT_AGE,MAX_INITIAL_PARENT_AGE,MIN_INITIAL_CHILD_AGE,MAX_INITIAL_CHILD_AGE,SELECTED_MAP_INDEX,PERCENT_CHILD_SOCIAL_BUILDINGS,density,avgConnectivity,avgClusteringCoefficient,skewness,avgPathLength,medianPathLength,avgPercentCanReach,maxDepth,avgDepth,num_communities,avg_community_size,max_community_size,min_community_size,percent_nodes_that_can_reach_all_nodes,idealDensity,idealAvgConnectivity,idealAvgClusteringCoefficient,idealSkewness,idealAvgPathLength,idealMedianPathLength,idealAvgPercentCanReach,idealMaxDepth,idealAvgDepth,idealNum_communities,idealAvg_community_size,idealMax_community_size,idealMin_community_size,idealPercent_nodes_that_can_reach_all_nodes,
100,True,Personality length (99),True,9,0,1,False,18,70,100,0,3,20,50,3,5,99,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02038568,4.892562,0.4263085,0.2454078,7.269336,6,0.2746398,20,8.917356,11,3.909091,5,3,0,0.0292011,7.008265,0.4889807,6.269441,7.686069,7,0.6054908,24,14.66116,12,4.833333,6,3,0,
100,True,Personality length (99),True,8,0,1,False,18,70,100,0,3,20,50,3,5,99,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.01749781,4.409449,0.4120734,-0.1177251,3.04798,3,0.07365613,9,2.937008,15,3.666667,5,3,0,0.02774653,6.992126,0.461286,8.954714,7.622696,8,0.9151211,21,15.45669,9,3.666667,5,3,0,
100,True,Personality length (99),True,7,0,1,False,18,70,100,0,3,20,50,3,5,99,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02094072,4.020618,0.3419244,0.289279,3.890748,3,0.1079817,13,3.484536,8,3.375,4,3,0,0.0358677,6.886598,0.4329897,8.380668,6.790575,6,0.8434473,21,11.47423,7,4.571429,6,3,0.01030928,
100,True,Personality length (99),True,6,0,1,False,18,70,100,0,3,20,50,3,5,99,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02316602,5.142857,0.4322917,0.01882285,3.48213,3,0.1137595,11,4.928571,11,4.545455,7,3,0,0.03161197,7.017857,0.4694941,4.395356,6.721423,7,0.9143027,17,11.99107,10,4,5,3,0,
100,True,Personality length (99),True,5,0,1,False,18,70,100,0,3,20,50,3,5,99,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02277881,4.464646,0.3762627,0.4460398,3.683459,3,0.1357005,10,3.858586,8,3.75,5,3,0,0.03628118,7.111111,0.4276095,8.847016,6.210404,6,0.8767472,15,11.07071,5,3.8,5,3,0,
100,True,Personality length (99),True,4,0,1,False,18,70,100,0,3,20,50,3,5,99,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02043115,4.535714,0.421875,-0.1601054,4.504164,4,0.1053093,15,3.785714,11,3.636364,5,3,0,0.03153153,7,0.4873511,7.426725,6.492739,6,0.8069994,17,11.60714,9,4,5,3,0,
100,True,Personality length (99),True,3,0,1,False,18,70,100,0,3,20,50,3,5,99,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02049744,5.165354,0.3661418,0.1817174,5.674645,5,0.2357244,16,6.385827,11,3.545455,5,3,0,0.02830896,7.133858,0.4770342,4.821053,7.45334,7,0.8789751,22,15.03937,9,4.666667,5,4,0,
100,True,Personality length (99),True,2,0,1,False,18,70,100,0,3,20,50,3,5,99,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02085175,4.837607,0.4245014,0.2636576,7.039587,6,0.2472788,22,7.504273,11,3.454545,5,3,0,0.03028294,7.025641,0.5149573,6.165087,9.375202,8,0.7229159,34,18.52137,10,4.1,5,3,0,
100,True,Personality length (99),True,10,0,1,False,18,70,100,0,3,20,50,3,5,99,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.01948387,4.832,0.406,0.07224057,4.922276,5,0.1967999,13,4.848,11,3.818182,6,3,0,0.02864516,7.104,0.5206666,5.66597,8.271646,7,0.742847,24,16.664,10,4.2,6,3,0,
100,True,Personality length (99),True,1,0,1,False,18,70,100,0,3,20,50,3,5,99,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02176814,4.745454,0.3954547,0.2866995,2.920705,2,0.0750413,10,3.109091,13,3.538461,5,3,0,0.03202669,6.981818,0.4946969,5.569182,8.631828,8,0.8714052,23,15.22727,10,4.6,5,4,0,
100,True,Personality length (98),True,9,0,1,False,18,70,100,0,3,20,50,3,5,98,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02033493,5.368421,0.3590225,0.1710231,4.06919,4,0.1911923,11,4.789474,10,3.7,5,3,0,0.02665755,7.037594,0.5156643,4.685193,7.505909,8,0.7796373,18,12.51128,11,4.272727,5,3,0,
100,True,Personality length (98),True,8,0,1,False,18,70,100,0,3,20,50,3,5,98,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.01971514,4.534483,0.3656609,0.5058909,3.633244,3,0.110434,10,3.948276,12,3.5,6,3,0,0.03013493,6.931035,0.5021551,6.111056,8.647031,8,0.7872331,24,15.05172,10,4.3,5,3,0,
100,True,Personality length (98),True,7,0,1,False,18,70,100,0,3,20,50,3,5,98,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.01971678,5.323529,0.4209559,0.5898902,6.498641,6,0.2587046,19,7.772059,10,3.9,5,3,0,0.02587146,6.985294,0.4748775,3.980449,8.045513,8,0.8873822,24,16.68382,10,3.8,5,3,0,
100,True,Personality length (98),True,6,0,1,False,18,70,100,0,3,20,50,3,5,98,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02052512,5.00813,0.4424118,-0.1680788,3.753679,3,0.1033115,15,4.097561,15,3.666667,5,3,0,0.02885512,7.04065,0.4749322,6.489478,8.461977,8,0.9282823,29,15.8374,7,4.142857,5,3,0,
100,True,Personality length (98),True,5,0,1,False,18,70,100,0,3,20,50,3,5,98,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.01976532,5.218045,0.3383458,-0.1983796,6.788823,6,0.3247216,22,7.330827,9,3.333333,4,3,0,0.02654363,7.007519,0.4486215,4.767674,8.63299,8,0.9064957,29,15.5188,9,4.111111,5,3,0,
100,True,Personality length (98),True,4,0,1,False,18,70,100,0,3,20,50,3,5,98,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02172055,5.12605,0.4754902,0.1892213,3.701689,3,0.1129158,12,4.705883,14,3.642857,5,3,0,0.02976784,7.02521,0.4341736,5.713855,7.501445,7,0.8795983,19,13.92437,8,4.625,6,3,0,
100,True,Personality length (98),True,3,0,1,False,18,70,100,0,3,20,50,3,5,98,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.02050883,4.388889,0.3865741,0.2328026,3.211111,3,0.09259257,10,4.148148,10,3.9,6,3,0,0.03271028,7,0.5038579,11.35818,8.710548,8,0.9208665,26,15.10185,10,4.1,5,3,0.02777778,
100,True,Personality length (98),True,2,0,1,False,18,70,100,0,3,20,50,3,5,98,0.5,2,0.25,0,0,0,0,3,20,40,0,17,0,0.2,0.0208939,5.348837,0.4644702,-0.5186042,5.422304,5,0.2123069,18,5.806201,11,3.818182,6,3,0,0.02785853,7.131783,0.5348837,4.98347,7.448061,7,0.7126981,18,11.83721,12,4,6,3,0,
